Amount,Frequency,Location,Device,Time,AccountAge,Fraud
168648,10,Different City,Mobile,Evening,25,0
70706,9,International,ATM,Morning,94,0
136433,1,Different City,Mobile,Morning,35,0
73180,5,Different City,POS,Afternoon,107,0
148852,7,International,Web,Morning,16,1
122462,8,Same City,ATM,Afternoon,81,0
122969,2,International,Mobile,Night,98,0
19055,10,Different City,ATM,Morning,45,0
124423,6,International,ATM,Afternoon,58,1
88659,7,Different City,POS,Night,5,0
123926,3,International,POS,Evening,50,0
43958,5,Same City,ATM,Night,68,0
198914,9,Same City,Mobile,Afternoon,61,0
140078,8,Different City,Mobile,Evening,65,0
176311,2,International,Mobile,Afternoon,2,0
141346,7,Same City,Mobile,Night,118,0
67586,3,Different City,Mobile,Evening,95,0
71054,3,Different City,ATM,Night,67,0
142260,2,Different City,Mobile,Night,114,0
178157,1,Same City,ATM,Evening,36,0
31669,5,International,Web,Evening,36,0
176323,3,Same City,POS,Afternoon,32,0
35387,8,Different City,Mobile,Afternoon,107,0
189197,5,International,ATM,Night,97,0
51233,3,Same City,Mobile,Night,17,0
104320,7,International,ATM,Evening,65,1
186621,7,Different City,POS,Morning,36,0
171791,1,Different City,ATM,Afternoon,116,0
69368,9,Different City,Web,Evening,55,0
96553,6,International,ATM,Evening,80,1
71034,3,Same City,POS,Evening,85,0
109094,4,International,Mobile,Evening,42,0
27935,3,International,Mobile,Night,15,0
167216,6,Different City,Web,Evening,84,0
131086,2,Same City,ATM,Afternoon,46,0
163828,1,Same City,Web,Afternoon,17,0
187522,5,Same City,Mobile,Evening,81,0
157384,7,Same City,Web,Evening,99,0
194570,6,Different City,Web,Afternoon,53,0
151352,9,International,Mobile,Evening,34,1
172674,1,Different City,ATM,Morning,48,0
56287,4,International,Mobile,Night,75,0
115625,3,Different City,Web,Night,61,0
82546,3,International,POS,Night,83,0
182976,7,International,ATM,Afternoon,38,1
174036,10,International,Mobile,Morning,78,1
21293,3,Different City,POS,Night,93,0
164630,1,International,Mobile,Night,45,0
169931,4,International,POS,Evening,64,0
179518,9,Different City,ATM,Evening,18,0
84075,8,Same City,POS,Morning,107,0
16402,5,Different City,Mobile,Morning,4,0
42436,5,Different City,Mobile,Morning,106,0
106663,5,International,Web,Night,93,0
190998,5,International,POS,Evening,5,0
173906,2,Different City,Mobile,Afternoon,4,0
88067,6,Same City,ATM,Morning,3,0
38192,2,Different City,Mobile,Evening,103,0
135270,3,Different City,ATM,Morning,6,0
73142,3,International,Web,Evening,64,0
33012,1,Same City,Web,Afternoon,97,0
94449,7,Same City,ATM,Night,83,0
78067,5,Different City,Web,Afternoon,88,0
3068,7,International,Web,Night,83,0
121330,4,International,Web,Afternoon,54,0
189143,2,Different City,Web,Night,31,0
32594,2,International,ATM,Morning,23,0
35526,7,International,POS,Afternoon,66,0
46249,6,Different City,Mobile,Morning,120,0
70844,5,Same City,Mobile,Night,12,0
116867,9,International,Mobile,Morning,112,1
175099,3,Same City,Web,Night,23,0
167440,8,Same City,POS,Afternoon,87,0
149779,7,Different City,POS,Evening,79,0
162550,3,Same City,POS,Morning,40,0
28089,5,International,ATM,Afternoon,25,0
14701,3,Different City,Web,Night,69,0
177068,1,Different City,Mobile,Afternoon,93,0
17377,1,Same City,Web,Morning,53,0
167023,10,International,Web,Afternoon,78,1
72758,10,Same City,ATM,Afternoon,120,0
76828,3,Same City,Web,Afternoon,97,0
48460,5,International,Web,Morning,11,0
116124,7,Different City,Web,Evening,59,0
164640,6,Same City,POS,Afternoon,39,0
103799,9,Different City,ATM,Evening,32,0
101569,3,International,ATM,Morning,44,0
104605,1,International,Mobile,Morning,8,0
138742,7,International,Mobile,Afternoon,77,1
109450,1,International,Web,Afternoon,86,0
134538,1,Different City,POS,Night,39,0
179423,7,Same City,ATM,Morning,100,0
42029,2,International,Mobile,Morning,35,0
91692,6,International,Mobile,Afternoon,50,1
80807,7,Different City,Web,Afternoon,15,0
69730,2,Same City,Web,Evening,119,0
80204,4,International,Mobile,Evening,72,0
92247,9,Different City,Mobile,Morning,41,0
179920,6,Same City,POS,Night,66,0
186514,8,Different City,Web,Evening,21,0
163955,10,Different City,Web,Morning,3,0
20443,8,Same City,Mobile,Morning,75,0
193698,8,International,Mobile,Night,49,1
176798,6,Different City,ATM,Afternoon,86,0
94785,8,Different City,Web,Morning,119,0
131583,10,International,Web,Afternoon,5,1
126064,5,Different City,POS,Night,120,0
89221,6,International,Web,Afternoon,111,1
170502,9,Same City,POS,Morning,75,0
31723,4,International,Mobile,Afternoon,36,0
41520,4,Same City,ATM,Night,18,0
107930,2,Same City,ATM,Morning,5,0
124379,6,International,ATM,Night,55,1
168230,7,Different City,ATM,Evening,40,0
49853,2,International,ATM,Evening,87,0
20684,2,Different City,ATM,Evening,106,0
122685,5,Different City,Mobile,Evening,29,0
90699,4,International,Mobile,Night,13,0
76060,4,Different City,POS,Morning,22,0
53939,2,Different City,POS,Evening,115,0
38690,2,International,POS,Night,49,0
190593,7,International,Web,Evening,58,1
149167,8,Different City,Mobile,Evening,69,0
62477,4,International,Web,Evening,83,0
182780,4,Different City,Mobile,Morning,5,0
154473,7,Different City,ATM,Morning,67,0
58050,3,Different City,ATM,Night,96,0
42390,1,Different City,POS,Morning,79,0
180423,6,Same City,POS,Afternoon,76,0
62535,1,Same City,Web,Morning,25,0
64137,4,International,ATM,Night,75,0
69290,7,Different City,POS,Evening,31,0
79168,1,International,ATM,Morning,31,0
42858,10,International,ATM,Morning,41,0
68071,5,Same City,POS,Afternoon,6,0
194916,2,Same City,Web,Night,107,0
129826,9,Same City,ATM,Morning,86,0
11193,10,Same City,Web,Morning,79,0
178697,3,Different City,ATM,Night,63,0
113824,9,Same City,Mobile,Afternoon,66,0
54546,4,Same City,ATM,Night,58,0
146119,6,Same City,Web,Morning,61,0
139363,6,Same City,Web,Morning,93,0
125749,9,Different City,Mobile,Evening,44,0
175849,10,International,Web,Night,102,1
38003,1,Same City,Mobile,Morning,42,0
8134,7,International,Web,Afternoon,106,0
168838,4,Same City,Mobile,Morning,71,0
50547,10,International,ATM,Afternoon,21,0
68266,3,Different City,POS,Evening,72,0
52178,1,Different City,Mobile,Morning,28,0
171266,2,International,Mobile,Afternoon,20,0
60326,1,Different City,POS,Afternoon,13,0
190760,8,International,ATM,Evening,78,1
186038,9,Different City,Mobile,Evening,27,0
59507,6,International,POS,Morning,73,0
96764,10,International,POS,Morning,50,1
126378,8,Same City,ATM,Evening,82,0
158768,3,International,Mobile,Afternoon,17,0
198666,6,Same City,ATM,Afternoon,59,0
167744,9,International,Mobile,Afternoon,78,1
3872,6,Different City,Mobile,Morning,39,0
110423,2,International,Mobile,Afternoon,98,0
85570,10,Same City,ATM,Morning,56,0
9819,8,Same City,Mobile,Morning,93,0
154884,6,Different City,Mobile,Evening,68,0
113115,9,International,ATM,Morning,13,1
159212,7,Same City,POS,Night,76,0
189144,6,Different City,Web,Evening,8,0
184773,3,International,POS,Morning,6,0
41878,5,Same City,POS,Morning,101,0
188919,3,Different City,Mobile,Afternoon,17,0
95033,9,International,POS,Evening,100,1
125460,2,International,ATM,Afternoon,94,0
193486,5,Same City,ATM,Morning,41,0
19284,10,Different City,Web,Evening,8,0
175736,8,International,ATM,Morning,47,1
93597,5,Different City,ATM,Afternoon,87,0
100522,3,Same City,ATM,Evening,64,0
175875,8,Same City,ATM,Morning,80,0
70940,5,International,ATM,Afternoon,80,0
154203,4,Same City,ATM,Night,18,0
104744,3,Different City,Web,Evening,118,0
132806,6,Different City,Web,Evening,72,0
118828,10,Different City,Web,Night,68,0
59362,5,Different City,POS,Morning,106,0
139155,10,Same City,ATM,Morning,43,0
187437,2,Same City,ATM,Evening,11,0
34130,6,Different City,Mobile,Afternoon,76,0
76508,6,International,Web,Afternoon,34,0
194191,7,Different City,Mobile,Evening,48,0
148351,9,Same City,Mobile,Morning,38,0
107906,3,Different City,Web,Afternoon,115,0
3334,2,International,Mobile,Morning,7,0
179994,8,Different City,Mobile,Morning,39,0
144251,1,Different City,Web,Night,41,0
172548,1,Same City,Web,Afternoon,31,0
152464,4,Different City,Web,Morning,108,0
10382,3,International,Web,Night,22,0
23872,7,Same City,Mobile,Night,93,0
66646,4,Same City,ATM,Night,98,0
73608,8,International,Web,Afternoon,113,0
115911,6,Different City,Web,Morning,43,0
83492,4,International,Mobile,Afternoon,6,0
161603,1,International,Mobile,Morning,78,0
87460,5,Same City,POS,Night,2,0
37493,6,Same City,Mobile,Afternoon,62,0
186939,3,Same City,POS,Afternoon,103,0
138283,4,International,ATM,Afternoon,8,0
155588,7,Different City,Web,Afternoon,48,0
191566,6,International,POS,Afternoon,87,1
79220,5,Different City,POS,Night,21,0
58064,8,International,POS,Morning,9,0
58905,6,International,Mobile,Night,98,0
139992,4,Same City,POS,Morning,92,0
11078,10,International,ATM,Evening,83,0
178645,1,Same City,POS,Afternoon,16,0
158357,4,International,ATM,Night,30,0
84449,6,International,Mobile,Afternoon,46,1
160604,6,Same City,Mobile,Night,23,0
103436,8,International,Mobile,Afternoon,115,1
179920,7,Different City,ATM,Night,25,0
199306,6,Same City,ATM,Afternoon,93,0
46190,10,Different City,Mobile,Morning,109,0
131737,8,Same City,POS,Night,53,0
94543,9,Different City,ATM,Morning,50,0
148850,5,International,Web,Afternoon,12,0
100774,6,Same City,POS,Evening,22,0
168570,7,Same City,Mobile,Night,39,0
23716,5,Different City,POS,Afternoon,84,0
56472,8,Same City,POS,Night,60,0
4798,7,International,Web,Afternoon,71,0
33609,3,Different City,Web,Evening,45,0
193794,9,Same City,Mobile,Evening,98,0
82683,6,Different City,Web,Morning,84,0
33796,5,Same City,POS,Afternoon,116,0
182691,1,Same City,ATM,Night,104,0
137573,5,International,POS,Afternoon,22,0
83873,7,International,POS,Afternoon,27,1
121335,3,International,Web,Morning,49,0
128999,9,Different City,ATM,Evening,24,0
139553,3,Different City,Web,Morning,51,0
10732,8,Same City,Web,Night,55,0
178147,10,Same City,POS,Afternoon,85,0
54703,10,Same City,Web,Morning,8,0
7143,7,International,POS,Morning,79,0
161884,5,Different City,POS,Evening,75,0
86622,6,International,POS,Evening,73,1
81602,2,International,Web,Evening,1,0
82920,1,Same City,ATM,Morning,40,0
183360,7,International,Mobile,Night,63,1
29878,6,International,Mobile,Night,46,0
195122,8,International,POS,Night,53,1
185010,1,Different City,Web,Night,103,0
107535,7,International,POS,Night,96,1
172678,5,International,Web,Afternoon,86,0
64751,4,Same City,ATM,Afternoon,97,0
19249,6,Same City,Mobile,Afternoon,1,0
64260,7,Different City,Web,Night,13,0
177977,10,International,ATM,Evening,29,1
58634,10,Same City,POS,Afternoon,72,0
99139,5,Different City,POS,Morning,26,0
151522,1,Same City,Web,Night,36,0
50622,9,Different City,POS,Morning,2,0
4760,2,Same City,POS,Night,110,0
176661,3,Same City,Web,Morning,87,0
181110,2,Different City,Web,Afternoon,18,0
155671,4,International,Web,Evening,23,0
173674,1,International,ATM,Morning,98,0
27967,2,Different City,ATM,Morning,77,0
105758,3,Different City,Web,Night,39,0
196930,6,International,POS,Evening,90,1
163848,10,International,Mobile,Morning,43,1
150915,3,Different City,POS,Night,77,0
195495,3,International,ATM,Night,67,0
71425,6,Same City,POS,Afternoon,107,0
36536,10,Different City,Mobile,Afternoon,36,0
190374,10,International,Mobile,Night,93,1
27245,5,Different City,Mobile,Afternoon,66,0
69546,6,Same City,Web,Evening,22,0
162492,9,Same City,Web,Night,2,0
5189,4,Same City,Mobile,Morning,75,0
21729,2,Same City,POS,Morning,84,0
161663,10,Same City,Web,Afternoon,66,0
75937,5,Different City,ATM,Morning,20,0
109566,4,International,Web,Night,115,0
166939,1,Same City,ATM,Afternoon,44,0
154720,8,International,POS,Night,25,1
23616,8,Same City,Web,Afternoon,80,0
24562,3,Same City,Mobile,Night,2,0
106166,5,International,Mobile,Evening,65,0
143836,10,International,ATM,Morning,102,1
133591,5,International,Mobile,Morning,79,0
97949,8,International,Web,Night,39,1
28363,1,Different City,Web,Night,1,0
106963,3,Different City,POS,Evening,68,0
15721,5,Different City,Mobile,Evening,119,0
64642,3,International,Mobile,Evening,110,0
120946,6,Same City,POS,Evening,2,0
14767,8,International,Mobile,Morning,119,0
117753,6,International,Mobile,Afternoon,97,1
73290,9,Same City,Mobile,Morning,83,0
115247,5,Same City,POS,Afternoon,99,0
113464,6,International,Web,Evening,76,1
36977,2,International,POS,Afternoon,106,0
12054,1,International,POS,Night,70,0
30293,1,Different City,ATM,Night,56,0
120843,1,International,Web,Morning,53,0
54968,6,Same City,Mobile,Afternoon,44,0
56501,1,International,ATM,Morning,52,0
116786,1,Same City,ATM,Morning,34,0
183587,5,Different City,POS,Morning,24,0
156116,8,Different City,POS,Afternoon,88,0
151610,3,International,Mobile,Night,92,0
20872,5,International,ATM,Evening,13,0
94377,1,Same City,Mobile,Morning,54,0
60584,9,International,POS,Morning,117,0
101951,7,Different City,Mobile,Night,26,0
45517,4,Same City,Mobile,Afternoon,81,0
74371,3,International,ATM,Evening,44,0
58392,7,Same City,Web,Afternoon,79,0
25145,10,International,ATM,Night,7,0
27317,4,International,Mobile,Morning,103,0
154320,10,Different City,Mobile,Night,4,0
60055,7,International,Mobile,Morning,116,0
20594,8,International,ATM,Afternoon,63,0
155469,5,Same City,Mobile,Night,84,0
60424,4,Different City,Mobile,Afternoon,102,0
153329,2,Same City,Mobile,Morning,29,0
148338,8,Different City,ATM,Afternoon,94,0
190011,9,International,POS,Morning,105,1
19372,2,Different City,Web,Evening,30,0
36149,8,International,Mobile,Afternoon,72,0
89411,8,International,Web,Afternoon,77,1
30090,9,Different City,ATM,Morning,76,0
132962,9,Different City,Web,Evening,61,0
188363,9,International,Web,Night,119,1
106583,4,Different City,Web,Afternoon,35,0
127860,4,Different City,ATM,Morning,14,0
101889,3,Different City,Mobile,Afternoon,48,0
199987,10,International,POS,Evening,72,1
30722,3,Same City,Web,Morning,48,0
191286,1,Different City,Web,Night,74,0
167018,5,International,Web,Evening,19,0
35799,1,Same City,Mobile,Morning,95,0
191220,1,Different City,Web,Evening,49,0
123475,4,Different City,POS,Morning,31,0
84529,8,Same City,ATM,Afternoon,115,0
94055,9,Different City,Mobile,Evening,66,0
133821,5,International,Mobile,Morning,29,0
52274,6,Different City,ATM,Night,42,0
13038,2,Same City,ATM,Night,58,0
149762,9,International,POS,Morning,81,1
174502,7,Different City,Web,Morning,13,0
71403,5,Different City,Web,Morning,68,0
103200,3,International,Web,Morning,116,0
92958,10,Different City,POS,Night,68,0
51435,2,Same City,Web,Afternoon,9,0
50103,6,Same City,Web,Afternoon,27,0
158893,6,International,Web,Morning,91,1
130529,2,Same City,Mobile,Evening,44,0
34141,6,Same City,Mobile,Afternoon,41,0
158780,9,International,Web,Evening,57,1
95288,8,Same City,Web,Afternoon,7,0
163156,3,Same City,ATM,Evening,102,0
58449,3,Different City,Web,Evening,98,0
143286,1,Different City,Mobile,Afternoon,96,0
190628,4,International,Mobile,Morning,42,0
50849,1,Same City,Mobile,Night,35,0
42870,5,Different City,ATM,Night,55,0
65478,6,Same City,Mobile,Morning,61,0
101227,2,Different City,Mobile,Morning,40,0
79774,7,Different City,Web,Morning,104,0
185728,4,Different City,Mobile,Evening,46,0
97705,4,International,POS,Night,65,0
42106,9,International,POS,Night,48,0
164209,3,Different City,Web,Morning,71,0
94694,9,Different City,ATM,Afternoon,69,0
28888,6,International,ATM,Evening,109,0
84976,9,International,Mobile,Morning,26,1
46728,6,Same City,Mobile,Morning,104,0
3846,10,International,ATM,Morning,82,0
43018,3,Same City,Web,Night,12,0
116610,2,Different City,Mobile,Afternoon,52,0
51378,10,Same City,ATM,Afternoon,53,0
168118,6,International,ATM,Morning,102,1
127002,6,Same City,Web,Night,52,0
94988,10,Same City,Mobile,Night,83,0
55790,9,International,Web,Morning,90,0
70857,6,International,Mobile,Night,117,0
94857,3,International,ATM,Morning,13,0
117426,7,International,Web,Afternoon,80,1
574,8,Different City,Web,Afternoon,119,0
163910,10,Different City,ATM,Afternoon,19,0
47480,3,Different City,Mobile,Night,8,0
102041,8,Same City,ATM,Morning,50,0
25347,7,Different City,POS,Night,13,0
28087,3,Different City,POS,Afternoon,71,0
113123,5,Different City,Web,Night,83,0
148894,5,Different City,Mobile,Night,42,0
103181,4,Same City,ATM,Afternoon,92,0
135043,7,Different City,Web,Night,36,0
146078,6,Same City,POS,Afternoon,119,0
70611,6,Same City,ATM,Evening,2,0
42784,10,International,ATM,Evening,88,0
164751,5,Same City,POS,Morning,18,0
193613,6,Different City,POS,Morning,48,0
116509,3,Same City,ATM,Evening,83,0
185225,10,International,Mobile,Afternoon,22,1
94530,7,International,Mobile,Night,4,1
100568,6,Same City,POS,Night,29,0
77458,2,Different City,Mobile,Evening,78,0
1044,9,Different City,POS,Night,88,0
59370,7,International,ATM,Morning,46,0
71092,10,Different City,Web,Morning,104,0
146328,4,Different City,POS,Morning,107,0
7412,9,Same City,Mobile,Afternoon,114,0
89779,6,International,Web,Afternoon,97,1
158266,4,International,Mobile,Evening,51,0
189817,8,Different City,POS,Afternoon,101,0
152947,10,Different City,ATM,Morning,103,0
121213,10,Same City,POS,Morning,70,0
78478,9,Different City,Mobile,Afternoon,117,0
122624,8,Same City,POS,Afternoon,119,0
137367,1,Same City,Web,Evening,53,0
27362,1,Same City,POS,Night,40,0
99482,2,International,Mobile,Afternoon,97,0
89355,9,Same City,Mobile,Morning,112,0
90791,8,Different City,ATM,Morning,50,0
23430,3,Different City,Web,Night,26,0
15898,1,Different City,POS,Afternoon,90,0
21489,3,International,POS,Morning,63,0
92926,5,Different City,Mobile,Afternoon,4,0
105050,6,Same City,Mobile,Night,5,0
41039,7,Different City,Mobile,Afternoon,106,0
165222,3,International,ATM,Evening,96,0
33295,6,Different City,Mobile,Morning,18,0
97046,9,Same City,ATM,Night,73,0
73709,8,Different City,ATM,Night,117,0
191738,9,Different City,Web,Morning,103,0
114305,3,Same City,ATM,Evening,59,0
70520,8,Different City,POS,Morning,49,0
20069,3,International,ATM,Night,91,0
127283,4,Same City,POS,Afternoon,46,0
176980,10,International,Web,Night,110,1
58506,9,International,POS,Morning,53,0
172885,5,Same City,ATM,Evening,90,0
68977,5,Same City,Web,Night,99,0
30518,8,Same City,ATM,Evening,66,0
165286,9,International,Web,Night,50,1
10015,1,Different City,Mobile,Evening,105,0
137184,1,Same City,POS,Evening,52,0
64668,8,Same City,Web,Morning,54,0
170900,2,International,POS,Morning,22,0
192475,10,Same City,POS,Night,19,0
100883,7,International,POS,Afternoon,4,1
184848,4,Same City,Web,Morning,52,0
143523,7,Different City,POS,Evening,56,0
132113,9,International,ATM,Morning,108,1
72411,4,Same City,Mobile,Afternoon,101,0
49358,9,Different City,ATM,Evening,65,0
9904,9,Different City,ATM,Morning,22,0
110503,10,International,POS,Night,66,1
123564,3,International,Mobile,Night,7,0
17980,6,International,ATM,Afternoon,42,0
21025,5,International,POS,Night,50,0
32411,10,Different City,ATM,Night,66,0
26254,10,Same City,Web,Afternoon,119,0
31699,1,Different City,ATM,Afternoon,109,0
110976,6,Same City,Web,Afternoon,111,0
115994,7,Different City,ATM,Morning,35,0
177682,9,Different City,POS,Afternoon,52,0
88346,1,Same City,POS,Morning,47,0
28370,1,Different City,POS,Evening,26,0
3597,9,International,Mobile,Afternoon,24,0
111916,6,Different City,Web,Evening,76,0
108632,4,Same City,POS,Evening,119,0
173078,10,Different City,Mobile,Afternoon,21,0
73150,4,International,ATM,Night,8,0
24126,6,International,Mobile,Morning,80,0
175770,8,Different City,POS,Morning,29,0
163815,4,Same City,ATM,Evening,10,0
117913,1,International,ATM,Afternoon,36,0
171723,8,International,POS,Morning,15,1
10646,8,Different City,POS,Afternoon,6,0
168876,2,International,POS,Night,10,0
180964,4,International,Mobile,Afternoon,93,0
70506,10,Different City,Web,Evening,110,0
186796,8,Same City,POS,Evening,45,0
185934,7,International,Mobile,Afternoon,83,1
26095,6,Different City,ATM,Evening,74,0
104006,10,Same City,ATM,Morning,111,0
114985,9,Different City,Web,Evening,34,0
114037,4,Same City,POS,Afternoon,61,0
183483,4,Same City,Mobile,Morning,45,0
113405,10,International,Web,Night,26,1
114610,3,Same City,POS,Morning,118,0
146142,1,International,Mobile,Morning,28,0
123697,7,Same City,POS,Night,87,0
132134,3,Same City,Mobile,Afternoon,113,0
35534,4,Different City,POS,Morning,47,0
40375,2,Different City,POS,Night,3,0
170042,6,Different City,Mobile,Morning,83,0
12968,3,Same City,ATM,Evening,33,0
194463,1,Different City,Mobile,Morning,97,0
35651,10,Same City,ATM,Afternoon,79,0
193248,8,International,Web,Evening,50,1
167456,9,Different City,Mobile,Night,48,0
194328,10,International,Mobile,Evening,39,1
60676,10,International,ATM,Morning,36,0
190535,7,Same City,ATM,Morning,15,0
54017,7,Different City,Mobile,Afternoon,46,0
190169,7,International,ATM,Evening,72,1
181552,7,Same City,Web,Night,102,0
134616,5,Same City,ATM,Afternoon,96,0
149310,2,Same City,Mobile,Evening,80,0
77002,5,Different City,POS,Afternoon,50,0
155164,1,Same City,Mobile,Afternoon,35,0
129494,8,Different City,Web,Evening,50,0
168973,9,International,Web,Morning,23,1
89063,4,International,Mobile,Afternoon,19,0
188321,3,Same City,POS,Afternoon,82,0
160252,5,International,Web,Morning,7,0
30310,4,Different City,Mobile,Afternoon,111,0
91347,6,International,POS,Afternoon,27,1
197249,6,Different City,ATM,Night,19,0
89026,4,International,Mobile,Afternoon,28,0
126408,4,Same City,Mobile,Evening,26,0
89126,8,Different City,POS,Evening,85,0
30417,10,Different City,Web,Night,113,0
140178,9,International,ATM,Evening,120,1
68602,5,Different City,Mobile,Night,4,0
153923,5,Same City,Mobile,Morning,109,0
26613,9,International,POS,Night,107,0
28781,5,International,ATM,Afternoon,112,0
119154,2,Same City,ATM,Morning,88,0
115130,3,International,POS,Afternoon,85,0
147757,10,International,POS,Afternoon,44,1
36151,3,Same City,Mobile,Morning,8,0
115617,3,Same City,Mobile,Evening,9,0
102004,10,International,POS,Morning,26,1
41256,9,Different City,POS,Morning,61,0
31196,4,Different City,ATM,Morning,52,0
1107,8,Same City,Mobile,Afternoon,2,0
87241,6,Different City,ATM,Morning,11,0
128109,9,Same City,Mobile,Morning,24,0
41677,10,Different City,POS,Evening,42,0
93880,4,Same City,Web,Night,46,0
150929,5,Same City,Mobile,Evening,59,0
51612,1,Same City,Mobile,Evening,4,0
196200,4,Different City,ATM,Morning,86,0
175110,10,Same City,Web,Night,89,0
145170,1,International,Mobile,Afternoon,20,0
51972,8,International,ATM,Night,114,0
31868,8,Same City,POS,Night,110,0
100013,3,Different City,Web,Afternoon,66,0
84902,2,Different City,POS,Morning,116,0
1078,9,Different City,ATM,Evening,15,0
175786,4,Same City,ATM,Afternoon,93,0
38220,5,International,ATM,Afternoon,10,0
62183,9,Different City,Mobile,Night,29,0
185414,9,International,POS,Night,80,1
178252,9,Different City,Mobile,Night,87,0
95302,2,Same City,Mobile,Morning,7,0
125851,7,Same City,ATM,Night,40,0
196726,3,Same City,Web,Night,90,0
149148,3,Same City,Web,Night,84,0
193694,9,Different City,ATM,Morning,99,0
100884,10,Same City,Web,Night,108,0
40944,2,International,Mobile,Afternoon,47,0
36761,1,Different City,Web,Night,9,0
67481,3,Same City,ATM,Evening,57,0
34751,5,International,ATM,Night,67,0
186902,10,International,Mobile,Afternoon,106,1
183946,8,Same City,Mobile,Afternoon,63,0
122211,2,International,POS,Evening,21,0
161718,5,International,Mobile,Night,86,0
48245,9,International,ATM,Afternoon,36,0
42269,9,Same City,ATM,Evening,10,0
94451,6,Same City,ATM,Morning,98,0
65508,8,International,Mobile,Morning,97,0
137503,1,Different City,ATM,Night,66,0
104500,2,Same City,Web,Evening,85,0
2137,4,Different City,Mobile,Night,34,0
190314,6,Same City,Mobile,Morning,117,0
135486,6,Different City,POS,Evening,15,0
145171,7,Same City,Web,Night,106,0
150470,5,Different City,Web,Night,3,0
21601,10,International,Web,Night,59,0
86874,9,Different City,Web,Night,57,0
77932,3,Different City,POS,Evening,119,0
131417,7,Different City,Web,Morning,17,0
25647,9,Different City,ATM,Afternoon,10,0
38576,8,Same City,POS,Evening,58,0
82914,10,Different City,ATM,Afternoon,24,0
164664,10,Same City,Mobile,Morning,58,0
80201,6,Different City,ATM,Evening,71,0
77739,2,Different City,POS,Morning,49,0
14714,6,Different City,Mobile,Night,88,0
76515,1,International,Web,Afternoon,34,0
31736,1,Different City,POS,Evening,97,0
98021,10,Same City,POS,Night,79,0
186204,1,Same City,ATM,Morning,56,0
107715,5,Different City,Mobile,Morning,118,0
111027,9,Same City,POS,Morning,70,0
127309,3,Same City,Web,Afternoon,22,0
13838,8,Different City,POS,Evening,20,0
154544,1,International,ATM,Night,70,0
130073,5,International,Web,Morning,101,0
88613,10,Different City,Web,Afternoon,112,0
17224,2,Same City,Web,Afternoon,92,0
84144,1,International,Mobile,Afternoon,39,0
149183,9,Different City,Mobile,Evening,34,0
160405,1,Same City,Mobile,Evening,111,0
5352,9,International,ATM,Afternoon,13,0
192955,8,International,ATM,Evening,31,1
125520,10,Same City,ATM,Afternoon,51,0
184811,5,International,Mobile,Afternoon,56,0
17049,5,Different City,Mobile,Morning,36,0
44120,1,Same City,Mobile,Evening,90,0
121146,1,International,Web,Evening,84,0
102167,1,International,POS,Night,42,0
57265,8,Different City,ATM,Night,83,0
163148,10,Different City,POS,Night,90,0
167468,8,Same City,ATM,Afternoon,11,0
117978,6,International,Web,Morning,20,1
140543,4,Same City,Mobile,Night,67,0
80273,2,International,Mobile,Afternoon,81,0
132544,5,International,POS,Afternoon,21,0
132215,6,International,Web,Morning,56,1
194157,2,Different City,ATM,Afternoon,59,0
186062,2,Different City,POS,Afternoon,107,0
124910,2,Different City,ATM,Morning,61,0
108611,6,Different City,Mobile,Morning,54,0
159845,8,International,Web,Afternoon,88,1
90621,9,Different City,ATM,Afternoon,53,0
19491,1,Same City,ATM,Night,39,0
157470,3,Same City,POS,Afternoon,34,0
177972,5,International,ATM,Morning,51,0
46308,10,Same City,POS,Afternoon,110,0
15866,9,Same City,Web,Evening,28,0
97033,4,Different City,ATM,Afternoon,14,0
123965,1,Different City,Mobile,Evening,98,0
48280,1,International,Web,Night,93,0
100185,10,Same City,ATM,Evening,101,0
82328,4,International,ATM,Night,81,0
147669,3,Different City,POS,Evening,47,0
96225,10,Same City,POS,Afternoon,88,0
198837,10,Same City,ATM,Evening,21,0
140807,10,International,Mobile,Afternoon,57,1
60462,7,Same City,Mobile,Morning,51,0
126450,1,Different City,ATM,Night,46,0
133698,4,International,Mobile,Night,24,0
62131,5,Different City,ATM,Morning,55,0
55069,1,International,POS,Afternoon,77,0
29045,9,International,Mobile,Morning,106,0
122602,7,International,Mobile,Evening,13,1
11770,3,Same City,POS,Night,109,0
166788,7,Same City,Mobile,Afternoon,54,0
80003,5,Different City,POS,Afternoon,41,0
64666,4,Same City,POS,Morning,30,0
109264,10,International,Web,Morning,12,1
39229,8,International,ATM,Evening,111,0
162080,4,Same City,Web,Morning,51,0
68434,5,Same City,ATM,Morning,56,0
129134,10,Same City,POS,Morning,111,0
47587,5,Different City,POS,Morning,3,0
42345,9,International,ATM,Evening,114,0
135570,7,Same City,Mobile,Evening,45,0
75602,4,Same City,ATM,Night,55,0
30369,9,Different City,Web,Night,31,0
68398,10,International,Mobile,Evening,54,0
16657,3,International,ATM,Night,100,0
10437,4,Different City,Web,Afternoon,111,0
11822,10,International,Web,Morning,57,0
99677,5,Different City,Mobile,Afternoon,25,0
178763,2,Different City,ATM,Evening,94,0
167746,1,Different City,Web,Night,85,0
185638,2,Same City,Web,Night,30,0
129823,8,International,ATM,Afternoon,28,1
82243,5,International,Web,Night,116,0
165785,9,Same City,Web,Evening,67,0
87074,10,International,Web,Afternoon,108,1
